,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
105812,2020-02-03,Melbourne,13.2,17.7,0.0,6.8,8.7,S,46.0,SW,SSW,17.0,20.0,81.0,50.0,1013.1,1016.6,7.0,4.0,13.2,16.9,0,0.0,0
105813,2020-02-04,Melbourne,11.3,19.7,0.0,7.0,11.9,S,43.0,SSE,SSW,9.0,19.0,50.0,48.0,1023.2,1021.0,1.0,1.0,15.4,18.4,0,0.0,0
105814,2020-02-05,Melbourne,10.8,20.1,0.0,7.2,11.8,S,35.0,ESE,SSW,6.0,17.0,66.0,57.0,1022.0,1019.9,2.0,2.0,15.4,18.9,0,0.0,0
105815,2020-02-06,Melbourne,13.7,25.5,0.0,5.8,8.0,SSW,30.0,N,SSW,9.0,15.0,76.0,56.0,1021.0,1018.6,7.0,5.0,16.5,24.6,0,0.0,0
105816,2020-02-07,Melbourne,16.5,23.2,0.0,5.4,6.1,S,30.0,W,SSW,6.0,11.0,95.0,80.0,1022.2,1021.4,8.0,2.0,19.7,21.4,0,0.0,0
105817,2020-02-08,Melbourne,17.4,29.4,0.0,3.0,11.8,ESE,50.0,SE,SE,11.0,20.0,78.0,41.0,1022.6,1019.0,3.0,1.0,21.8,28.9,0,0.0,0
105818,2020-02-09,Melbourne,19.6,28.2,0.0,8.8,2.1,SE,48.0,SE,SE,13.0,19.0,63.0,49.0,1018.6,1015.4,7.0,7.0,21.8,26.2,0,0.6,0
105819,2020-02-10,Melbourne,18.5,27.7,0.6,6.4,1.2,ESE,31.0,SSE,ESE,15.0,15.0,87.0,57.0,1011.9,1008.0,7.0,7.0,19.5,27.3,0,0.0,0
105820,2020-02-11,Melbourne,19.5,25.9,0.0,3.0,5.9,SSW,30.0,NNE,SSW,6.0,13.0,86.0,65.0,1009.0,1008.6,7.0,7.0,21.1,25.4,0,0.0,0
105821,2020-02-12,Melbourne,19.1,27.7,0.0,4.8,4.7,SSE,39.0,SE,SSW,7.0,19.0,93.0,77.0,1013.5,1012.9,8.0,6.0,20.1,23.6,0,0.0,0
105822,2020-02-13,Melbourne,19.4,31.7,0.0,4.4,12.0,SSE,35.0,ESE,SSW,4.0,9.0,73.0,52.0,1013.3,1009.7,4.0,2.0,22.7,29.9,0,0.0,0
105823,2020-02-14,Melbourne,20.3,33.7,0.0,7.2,4.5,NNW,31.0,NE,WSW,7.0,19.0,77.0,81.0,1007.6,1006.0,6.0,7.0,24.2,24.2,0,5.4,1
105824,2020-02-15,Melbourne,18.9,19.3,5.4,5.8,0.0,SSW,37.0,SSW,SSW,11.0,9.0,100.0,100.0,1009.8,1011.3,8.0,8.0,19.0,18.0,1,2.8,1
105825,2020-02-16,Melbourne,16.9,26.4,2.8,0.2,8.2,ESE,31.0,SE,SE,6.0,11.0,80.0,57.0,1014.2,1012.4,7.0,4.0,18.3,24.6,1,0.0,0
105826,2020-02-17,Melbourne,15.2,25.6,0.0,4.0,12.4,SSW,28.0,NNE,SSW,6.0,15.0,80.0,63.0,1013.1,1009.8,1.0,1.0,17.8,24.3,0,0.0,0
105827,2020-02-18,Melbourne,17.6,21.8,0.0,5.4,2.5,SW,52.0,SE,WSW,4.0,6.0,90.0,99.0,1005.6,1004.1,7.0,7.0,19.7,18.1,0,38.0,1
105828,2020-02-19,Melbourne,13.3,19.7,38.0,4.4,4.2,SSW,46.0,SSW,SSW,15.0,22.0,92.0,63.0,1009.0,1011.6,7.0,6.0,15.6,18.7,1,3.2,1
105829,2020-02-20,Melbourne,14.2,18.7,3.2,3.6,2.1,S,33.0,S,SSW,11.0,15.0,65.0,60.0,1015.5,1016.5,8.0,7.0,15.4,17.3,1,2.8,1
105830,2020-02-21,Melbourne,13.5,19.6,2.8,3.0,6.2,S,33.0,N,S,4.0,17.0,90.0,55.0,1019.6,1020.6,7.0,4.0,15.4,18.7,1,0.0,0
105831,2020-02-22,Melbourne,11.4,21.1,0.0,4.0,11.8,SSW,31.0,SSE,SW,9.0,13.0,67.0,52.0,1023.5,1022.2,1.0,1.0,15.7,20.4,0,0.0,0
105833,2020-02-24,Melbourne,16.8,23.7,0.0,7.8,2.6,SSW,24.0,NNE,SSW,7.0,9.0,85.0,88.0,1018.7,1017.7,7.0,7.0,19.4,20.5,0,3.6,1
105834,2020-02-25,Melbourne,18.4,31.6,3.6,3.6,2.5,NNW,43.0,NNE,NNW,7.0,20.0,81.0,38.0,1011.4,1008.0,7.0,7.0,22.1,29.8,1,4.0,1
105835,2020-02-26,Melbourne,16.2,19.2,4.0,6.0,7.2,WSW,44.0,NW,S,11.0,20.0,59.0,49.0,1007.3,1011.6,7.0,5.0,18.1,18.1,1,0.2,0
105836,2020-02-27,Melbourne,11.0,19.7,0.2,4.2,5.5,NW,33.0,NNW,W,13.0,11.0,60.0,47.0,1013.1,1011.0,7.0,7.0,13.1,18.8,0,0.0,0
105837,2020-02-28,Melbourne,13.1,20.1,0.0,6.0,1.9,WNW,28.0,WSW,SSW,7.0,9.0,76.0,64.0,1015.3,1015.4,7.0,7.0,15.7,18.4,0,0.0,0
105838,2020-02-29,Melbourne,14.7,22.4,0.0,2.6,10.6,SSW,24.0,SW,SSW,4.0,13.0,82.0,65.0,1016.8,1014.5,5.0,1.0,15.4,20.4,0,0.0,0
105839,2020-03-01,Melbourne,13.2,32.1,0.0,5.6,7.4,N,46.0,NNE,NNW,9.0,22.0,83.0,27.0,1009.6,1005.3,7.0,5.0,16.4,30.6,0,3.0,1
105840,2020-03-02,Melbourne,14.2,18.4,3.0,9.4,9.7,SSW,44.0,SSW,S,13.0,15.0,72.0,52.0,1015.0,1017.2,2.0,6.0,15.3,17.9,1,0.0,0
105841,2020-03-03,Melbourne,14.7,19.5,0.0,5.2,8.2,SSW,33.0,SSE,SSW,11.0,13.0,59.0,59.0,1021.4,1019.7,7.0,7.0,15.5,18.6,0,0.0,0
105842,2020-03-04,Melbourne,13.6,23.5,0.0,4.4,0.0,SE,19.0,NNE,ESE,7.0,7.0,77.0,61.0,1016.8,1012.7,7.0,8.0,15.5,21.3,0,54.6,1
105844,2020-03-06,Melbourne,15.9,19.0,7.0,0.6,4.7,S,37.0,SSW,SSW,9.0,19.0,77.0,84.0,1014.4,1016.5,7.0,7.0,16.7,17.2,1,0.2,0
105845,2020-03-07,Melbourne,15.4,20.0,0.2,4.2,2.7,SSW,31.0,S,S,11.0,13.0,73.0,70.0,1022.5,1022.9,7.0,7.0,16.5,18.9,0,0.0,0
105846,2020-03-08,Melbourne,13.9,22.4,0.0,2.4,7.2,SSE,39.0,E,SE,7.0,17.0,78.0,50.0,1021.8,1019.5,7.0,6.0,15.7,21.6,0,0.0,0
105847,2020-03-09,Melbourne,12.3,21.0,0.0,4.6,11.7,S,37.0,SE,SSW,11.0,19.0,73.0,48.0,1023.0,1021.4,1.0,6.0,14.3,20.2,0,0.0,0
105848,2020-03-10,Melbourne,10.3,22.3,0.0,6.2,10.9,SSW,20.0,NE,S,6.0,9.0,85.0,59.0,1022.1,1019.2,6.0,1.0,12.7,21.9,0,0.0,0
105849,2020-03-11,Melbourne,12.6,29.5,0.0,4.0,11.3,N,24.0,NNE,ENE,6.0,4.0,85.0,33.0,1020.8,1018.7,2.0,4.0,16.6,28.3,0,0.0,0
105850,2020-03-12,Melbourne,16.6,29.5,0.0,9.2,10.7,N,39.0,NNE,N,9.0,20.0,55.0,34.0,1021.0,1018.5,1.0,7.0,20.4,28.3,0,0.0,0
105851,2020-03-13,Melbourne,19.1,26.8,0.0,11.2,1.9,SSW,54.0,N,NNW,17.0,15.0,44.0,46.0,1013.7,1010.6,7.0,7.0,22.3,25.9,0,0.6,0
105852,2020-03-14,Melbourne,13.1,17.9,0.6,6.0,6.2,SE,43.0,SSE,SSE,15.0,20.0,52.0,45.0,1024.2,1023.4,4.0,5.0,14.2,16.7,0,0.0,0
105853,2020-03-15,Melbourne,12.7,18.8,0.0,2.8,2.7,SSE,31.0,SE,SSW,7.0,13.0,74.0,64.0,1025.5,1024.7,5.0,7.0,13.8,17.6,0,0.0,0
105854,2020-03-16,Melbourne,9.3,26.5,0.0,4.0,10.8,NNE,22.0,NE,N,7.0,13.0,87.0,35.0,1027.2,1024.5,1.0,1.0,11.6,25.2,0,0.0,0
105855,2020-03-17,Melbourne,11.6,28.2,0.0,5.6,11.2,N,43.0,NNE,N,11.0,19.0,63.0,37.0,1026.1,1022.9,1.0,5.0,17.9,26.7,0,0.0,0
105856,2020-03-18,Melbourne,17.7,28.3,0.0,10.8,2.9,N,43.0,N,N,20.0,17.0,42.0,35.0,1021.6,1019.2,7.0,7.0,22.1,27.5,0,0.0,0
105857,2020-03-19,Melbourne,18.7,30.4,0.0,7.4,2.4,N,39.0,N,N,13.0,15.0,43.0,34.0,1018.3,1014.7,7.0,7.0,24.1,29.5,0,0.0,0
105858,2020-03-20,Melbourne,16.1,22.7,0.0,7.2,9.2,W,44.0,NW,WSW,13.0,13.0,63.0,47.0,1016.2,1015.3,1.0,7.0,17.5,22.3,0,0.0,0
105859,2020-03-21,Melbourne,14.6,18.4,0.0,5.6,3.2,SSW,24.0,S,SW,4.0,9.0,64.0,59.0,1022.9,1021.4,7.0,7.0,15.3,17.7,0,0.0,0
105860,2020-03-22,Melbourne,12.1,18.3,0.0,2.8,3.2,SSW,39.0,W,SSW,9.0,17.0,76.0,67.0,1022.6,1024.8,7.0,6.0,14.9,17.7,0,0.4,0
105861,2020-03-23,Melbourne,12.7,17.1,0.4,3.4,2.2,S,31.0,SE,S,11.0,11.0,66.0,63.0,1028.7,1026.8,4.0,7.0,14.1,16.5,0,0.0,0
105862,2020-03-24,Melbourne,8.5,17.9,0.0,3.0,4.5,S,31.0,NE,SSW,6.0,17.0,75.0,55.0,1024.9,1022.7,7.0,7.0,10.8,16.5,0,0.0,0
105863,2020-03-25,Melbourne,10.8,17.5,0.0,3.8,0.0,S,30.0,SSE,SSW,6.0,15.0,53.0,61.0,1023.9,1025.0,7.0,7.0,15.2,15.7,0,0.0,0
105865,2020-03-27,Melbourne,13.6,27.6,0.0,3.8,9.7,NNW,30.0,NNE,NNE,7.0,13.0,90.0,36.0,1025.5,1022.1,2.0,6.0,15.0,26.8,0,0.0,0
105866,2020-03-28,Melbourne,14.8,27.5,0.0,7.6,10.1,NNE,41.0,N,NNE,9.0,20.0,68.0,37.0,1021.4,1017.5,1.0,1.0,16.5,26.9,0,0.0,0
105867,2020-03-29,Melbourne,16.5,26.4,0.0,10.2,3.1,NNW,48.0,N,W,11.0,17.0,43.0,75.0,1012.8,1011.7,6.0,8.0,22.1,19.1,0,5.2,1
105868,2020-03-30,Melbourne,15.9,21.7,5.2,4.2,7.3,W,26.0,W,S,7.0,6.0,75.0,55.0,1013.0,1013.2,6.0,6.0,16.9,19.6,1,0.0,0
105869,2020-03-31,Melbourne,12.2,21.4,0.0,1.0,10.6,SSW,22.0,NE,S,7.0,13.0,84.0,51.0,1018.4,1017.0,1.0,4.0,14.1,20.0,0,0.0,0
105870,2020-04-01,Melbourne,11.0,23.1,0.0,4.0,7.1,SSE,20.0,NE,SW,9.0,9.0,84.0,55.0,1019.3,1014.9,1.0,7.0,12.5,22.4,0,23.0,1
105875,2020-04-06,Melbourne,10.7,16.5,6.2,1.4,4.6,S,24.0,WSW,SSW,9.0,11.0,74.0,59.0,1021.4,1021.8,2.0,7.0,13.1,15.4,1,1.4,1
105876,2020-04-07,Melbourne,11.9,16.4,1.4,1.8,1.8,S,24.0,ENE,SSW,2.0,11.0,78.0,58.0,1024.5,1022.8,7.0,7.0,14.1,15.2,1,1.2,1
105877,2020-04-08,Melbourne,11.7,18.6,1.2,1.4,5.8,SE,26.0,SE,SSE,11.0,11.0,97.0,68.0,1025.2,1023.8,7.0,6.0,13.3,17.7,1,0.0,0
105878,2020-04-09,Melbourne,8.9,21.2,0.0,1.2,10.6,SSW,17.0,E,SSW,4.0,7.0,82.0,51.0,1027.5,1023.1,0.0,1.0,13.0,20.1,0,0.2,0
105879,2020-04-10,Melbourne,12.7,22.0,0.2,4.0,4.1,NW,31.0,NNW,NNW,17.0,15.0,79.0,53.0,1017.2,1010.9,7.0,5.0,17.8,21.3,0,2.4,1
105880,2020-04-11,Melbourne,13.0,15.7,2.4,4.8,6.1,WSW,59.0,W,WSW,15.0,15.0,64.0,56.0,1006.5,1009.0,1.0,3.0,14.2,15.2,1,2.4,1
105881,2020-04-12,Melbourne,11.0,15.3,2.4,4.4,0.5,W,30.0,WSW,SW,9.0,6.0,79.0,61.0,1020.2,1019.7,7.0,7.0,12.9,15.0,1,0.0,0
105882,2020-04-13,Melbourne,12.2,18.3,0.0,2.4,7.1,SSW,20.0,WSW,SSW,7.0,9.0,68.0,57.0,1021.9,1019.7,7.0,2.0,13.5,18.1,0,0.6,0
105883,2020-04-14,Melbourne,12.1,23.4,0.6,2.4,3.2,N,33.0,NNE,N,15.0,15.0,64.0,51.0,1023.7,1022.2,7.0,7.0,16.6,21.5,0,0.0,0
105884,2020-04-15,Melbourne,15.6,23.5,0.0,5.8,3.7,N,50.0,N,N,19.0,20.0,54.0,44.0,1020.9,1013.9,4.0,7.0,18.8,23.2,0,0.2,0
105885,2020-04-16,Melbourne,15.4,21.5,0.2,5.0,8.0,SSW,46.0,WSW,S,7.0,13.0,72.0,76.0,1009.6,1010.3,5.0,6.0,17.4,16.8,0,0.0,0
105886,2020-04-17,Melbourne,11.4,18.4,0.0,3.6,5.4,WSW,35.0,NW,SW,9.0,13.0,67.0,61.0,1015.0,1013.6,7.0,7.0,14.7,17.6,0,0.0,0
105887,2020-04-18,Melbourne,12.9,16.4,0.0,3.0,2.2,WSW,26.0,WNW,SW,9.0,7.0,76.0,67.0,1016.4,1014.1,7.0,7.0,13.7,15.8,0,0.0,0
105888,2020-04-19,Melbourne,11.2,19.4,0.0,1.4,5.7,NNW,31.0,NNE,NE,4.0,7.0,75.0,37.0,1016.3,1012.4,3.0,7.0,12.8,17.8,0,3.4,1
105889,2020-04-20,Melbourne,12.0,20.8,3.4,5.8,4.5,N,59.0,N,WSW,20.0,11.0,55.0,37.0,1007.9,1010.9,3.0,3.0,16.3,20.3,1,0.0,0
105890,2020-04-21,Melbourne,8.5,19.6,0.0,3.0,7.1,NNW,41.0,ENE,N,6.0,20.0,74.0,39.0,1016.7,1014.0,5.0,4.0,12.9,19.0,0,0.0,0
105891,2020-04-22,Melbourne,12.8,18.2,0.0,3.8,6.6,SSW,22.0,WNW,S,7.0,4.0,69.0,64.0,1020.3,1019.1,6.0,7.0,15.2,17.8,0,0.0,0
105892,2020-04-23,Melbourne,9.6,19.7,0.0,2.8,3.1,N,44.0,N,N,11.0,24.0,66.0,53.0,1018.5,1013.7,7.0,7.0,15.2,19.3,0,0.4,0
105893,2020-04-24,Melbourne,15.1,22.3,0.4,3.2,9.8,N,26.0,WNW,SSW,11.0,11.0,68.0,49.0,1018.2,1017.5,1.0,1.0,17.1,20.9,0,0.0,0
105894,2020-04-25,Melbourne,10.5,21.7,0.0,3.8,5.3,N,43.0,N,NNW,13.0,20.0,75.0,50.0,1019.0,1014.9,7.0,7.0,15.7,21.2,0,14.0,1
105895,2020-04-26,Melbourne,15.4,17.7,14.0,2.0,4.2,SSW,31.0,NW,SSW,13.0,11.0,78.0,64.0,1012.6,1016.3,7.0,3.0,17.6,17.1,1,0.6,0
105896,2020-04-27,Melbourne,8.1,18.1,0.6,3.2,9.6,NNW,22.0,ENE,SSW,7.0,6.0,72.0,48.0,1025.1,1022.4,1.0,1.0,11.7,17.3,0,0.0,0
105897,2020-04-28,Melbourne,7.1,18.9,0.0,2.2,5.4,NNW,43.0,NNE,N,9.0,17.0,76.0,52.0,1020.0,1014.1,7.0,7.0,11.3,17.9,0,3.4,1
105898,2020-04-29,Melbourne,11.2,19.8,3.4,3.2,1.7,N,35.0,N,WSW,17.0,7.0,83.0,98.0,1005.6,1004.9,7.0,7.0,17.5,13.0,1,23.6,1
105899,2020-04-30,Melbourne,8.9,15.5,23.6,2.4,2.5,WNW,44.0,NW,W,6.0,13.0,78.0,75.0,1007.0,1005.0,7.0,7.0,10.5,11.8,1,8.0,1
105900,2020-05-01,Melbourne,7.6,13.0,8.0,1.8,2.3,NW,46.0,WSW,W,9.0,17.0,80.0,62.0,1001.7,999.5,8.0,7.0,9.0,12.4,1,1.4,1
105901,2020-05-02,Melbourne,8.3,14.2,1.4,2.0,2.2,WNW,44.0,W,SSW,15.0,15.0,81.0,66.0,1005.8,1007.7,8.0,6.0,10.3,13.4,1,1.8,1
105902,2020-05-03,Melbourne,9.8,15.0,1.8,2.8,3.6,SSW,30.0,W,SSW,6.0,6.0,72.0,63.0,1023.3,1024.1,7.0,7.0,11.3,13.8,1,0.2,0
105903,2020-05-04,Melbourne,9.4,14.8,0.2,1.6,1.1,WSW,19.0,W,SSW,6.0,7.0,97.0,78.0,1029.6,1028.2,8.0,7.0,10.1,13.8,0,0.4,0
105904,2020-05-05,Melbourne,8.0,19.5,0.4,0.8,9.9,N,31.0,NNE,NNE,13.0,17.0,100.0,51.0,1030.5,1026.7,0.0,1.0,10.2,18.9,0,0.0,0
105905,2020-05-06,Melbourne,10.2,20.1,0.0,2.8,5.2,N,48.0,NNW,N,19.0,26.0,64.0,56.0,1026.1,1021.6,7.0,8.0,15.2,19.1,0,0.0,0
105906,2020-05-07,Melbourne,15.1,21.1,0.0,4.0,9.0,NNW,59.0,N,N,17.0,24.0,52.0,51.0,1014.8,1008.8,7.0,7.0,17.9,20.5,0,0.0,0
105907,2020-05-08,Melbourne,12.6,19.6,0.0,4.2,8.1,NNW,41.0,NNW,NNW,15.0,22.0,70.0,53.0,1013.2,1011.1,1.0,3.0,14.8,18.7,0,0.6,0
105908,2020-05-09,Melbourne,12.6,14.0,0.6,2.4,2.5,SW,39.0,W,WSW,17.0,9.0,81.0,75.0,1007.2,1009.5,8.0,3.0,12.6,12.4,0,7.0,1
105909,2020-05-10,Melbourne,7.2,14.5,7.0,4.8,5.2,NW,28.0,NW,W,7.0,9.0,65.0,59.0,1023.1,1023.5,7.0,7.0,9.9,13.6,1,0.6,0
105910,2020-05-11,Melbourne,7.8,17.1,0.6,2.2,6.2,NNW,22.0,NNE,N,9.0,11.0,74.0,57.0,1028.8,1026.4,1.0,7.0,11.1,16.0,0,0.2,0
105911,2020-05-12,Melbourne,10.3,14.8,0.2,2.4,2.5,N,41.0,N,N,17.0,19.0,69.0,66.0,1024.0,1020.9,7.0,7.0,12.1,14.4,0,1.4,1
105912,2020-05-13,Melbourne,10.4,14.5,1.4,3.0,2.7,SSW,30.0,WSW,SSW,7.0,13.0,90.0,54.0,1025.2,1025.3,7.0,7.0,10.5,13.8,1,2.8,1
105913,2020-05-14,Melbourne,6.6,14.7,2.8,1.6,6.9,SSW,20.0,NNE,SSW,9.0,11.0,89.0,53.0,1030.7,1029.3,7.0,3.0,7.9,13.6,1,0.0,0
105914,2020-05-15,Melbourne,4.5,15.3,0.0,1.4,9.6,SSW,19.0,NE,S,9.0,7.0,86.0,58.0,1032.3,1029.3,1.0,1.0,6.7,14.1,0,0.0,0
105915,2020-05-16,Melbourne,4.5,18.0,0.0,1.4,9.6,NNW,35.0,NNE,N,7.0,15.0,87.0,46.0,1031.2,1028.9,0.0,1.0,7.9,17.5,0,0.0,0
105916,2020-05-17,Melbourne,5.1,18.5,0.0,3.8,9.7,NNE,19.0,NNE,S,9.0,7.0,91.0,44.0,1033.1,1030.4,0.0,1.0,7.1,16.6,0,0.0,0
105917,2020-05-18,Melbourne,5.5,19.4,0.0,1.2,8.7,N,33.0,NNE,N,7.0,19.0,87.0,51.0,1031.6,1027.5,1.0,7.0,8.1,18.7,0,0.0,0
105918,2020-05-19,Melbourne,8.1,17.7,0.0,2.0,0.3,NNW,33.0,N,N,13.0,19.0,69.0,57.0,1024.4,1019.0,7.0,8.0,13.6,17.5,0,15.6,1
105919,2020-05-20,Melbourne,10.3,15.8,15.6,2.8,7.4,NNW,56.0,NNW,NW,11.0,17.0,83.0,43.0,1013.1,1012.0,5.0,2.0,12.5,15.3,1,12.4,1
105920,2020-05-21,Melbourne,9.4,13.7,12.4,2.4,2.0,S,31.0,WSW,SSW,4.0,15.0,99.0,62.0,1017.0,1017.9,8.0,6.0,10.1,13.1,1,11.4,1
105921,2020-05-22,Melbourne,9.1,13.6,11.4,2.4,2.5,SW,24.0,W,SSW,6.0,7.0,87.0,64.0,1021.7,1018.7,7.0,7.0,10.1,13.3,1,0.0,0
105922,2020-05-23,Melbourne,9.4,13.5,0.0,1.4,0.1,SSE,33.0,SSE,SSW,6.0,13.0,95.0,97.0,1018.7,1016.8,8.0,8.0,11.1,12.3,0,3.0,1
105923,2020-05-24,Melbourne,10.9,13.8,3.0,0.0,2.0,S,35.0,S,SSW,13.0,17.0,66.0,77.0,1022.0,1022.0,7.0,7.0,11.9,13.2,1,0.0,0
105924,2020-05-25,Melbourne,5.5,16.0,0.0,1.4,9.3,ESE,31.0,S,SE,7.0,9.0,100.0,56.0,1026.0,1024.1,1.0,1.0,8.5,15.5,0,0.0,0
105925,2020-05-26,Melbourne,5.4,18.5,0.0,1.2,9.3,N,26.0,NNE,NNW,11.0,15.0,100.0,44.0,1026.8,1021.6,1.0,1.0,5.9,17.9,0,0.0,0
105926,2020-05-27,Melbourne,5.9,17.1,0.0,1.6,0.1,N,39.0,NNE,N,9.0,17.0,67.0,65.0,1020.8,1018.1,7.0,7.0,13.7,16.1,0,0.0,0
105927,2020-05-28,Melbourne,12.1,17.6,0.0,2.2,4.2,N,20.0,NNW,SSW,9.0,9.0,71.0,70.0,1021.9,1021.5,6.0,7.0,13.7,14.7,0,0.0,0
105928,2020-05-29,Melbourne,7.2,17.1,0.0,1.8,8.0,NNW,33.0,NNE,N,9.0,17.0,92.0,65.0,1027.2,1024.9,1.0,6.0,10.0,16.6,0,0.0,0
105929,2020-05-30,Melbourne,8.1,17.1,0.0,1.6,7.6,N,56.0,N,N,15.0,28.0,73.0,52.0,1023.5,1015.8,4.0,6.0,12.5,15.9,0,0.0,0
105930,2020-05-31,Melbourne,12.4,17.8,0.0,4.0,5.0,N,44.0,NNW,NNW,9.0,15.0,71.0,48.0,1012.9,1009.8,6.0,7.0,13.1,16.8,0,5.0,1
105931,2020-06-01,Melbourne,9.3,11.2,5.0,3.0,0.1,SW,48.0,NW,W,11.0,11.0,84.0,92.0,1005.0,1007.1,7.0,7.0,9.9,10.0,1,11.6,1
105932,2020-06-02,Melbourne,8.4,15.6,11.6,1.6,2.9,SSW,39.0,NW,NW,7.0,9.0,79.0,68.0,1019.2,1018.1,6.0,7.0,11.1,14.9,1,0.6,0
